"ASV";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"ASV152";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Subdoligranulum"
"ASV153";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"ASV155";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Halomonadaceae";"Halomonas"
"ASV156";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus"
"ASV157";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Yersiniaceae";NA
"ASV158";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Leuconostoc"
"ASV159";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Solirubrobacterales";"67-14";NA
"ASV160";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Burkholderiaceae";"Ralstonia"
"ASV161";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Enhydrobacter"
"ASV162";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"ASV163";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Aeromonadaceae";"Aeromonas"
"ASV164";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Alcanivoracaceae1";"Alcanivorax"
"ASV165";"Bacteria";"Dependentiae";"Babeliae";"Babeliales";"Vermiphilaceae";NA
"ASV166";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Schleiferilactobacillus"
"ASV168";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Oscillospiraceae";"Flavonifractor"
"ASV169";"Bacteria";"Firmicutes";"Clostridia";"Oscillospirales";"Ruminococcaceae";"Faecalibacterium"
"ASV170";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Streptococcaceae";"Lactococcus"
