SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
FN000.1;ASV77;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus
FN000.1;ASV78;13;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Secundilactobacillus
FN000.1;ASV79;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;
FN000.1;ASV80;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc
FN000.1;ASV81;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
FN000.1;ASV83;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia
FN000.1;ASV84;35;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Loigolactobacillus
FN000.1;ASV87;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
FN000.1;ASV90;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
FN000.1;ASV91;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus
FN000.1;ASV92;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia
FN000.1;ASV93;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus
FN000.1;ASV94;17;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus
FN000.1;ASV95;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter
