SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
LN125.1;ASV191;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium
LN125.1;ASV194;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;
LN125.1;ASV195;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Thermicanales;Thermicanaceae;Thermicanus
LN125.1;ASV197;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Aeribacillus
LN125.1;ASV198;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;
LN125.1;ASV200;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas
LN125.1;ASV206;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002
LN125.1;ASV207;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister
LN125.1;ASV208;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Catellatospora
LN125.1;ASV211;0;LN125;larvae;sorb-;1.25;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes
LN125.1;ASV212;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
LN125.1;ASV213;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas
LN125.1;ASV214;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
LN125.1;ASV215;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
LN125.1;ASV216;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Tepidiphilus
LN125.1;ASV217;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Alcanivoracaceae1;Alcanivorax
LN125.1;ASV218;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Moellerella
LN125.1;ASV226;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
LN125.1;ASV235;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus
LN125.1;ASV236;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella
LN125.1;ASV237;0;LN125;larvae;sorb-;1.25;1;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;
LN125.1;ASV239;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter
LN125.1;ASV240;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter
LN125.1;ASV241;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus
LN125.1;ASV242;0;LN125;larvae;sorb-;1.25;1;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
LN125.1;ASV243;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
LN125.1;ASV244;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter
LN125.1;ASV246;0;LN125;larvae;sorb-;1.25;1;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;Methylophaga
LN125.1;ASV247;0;LN125;larvae;sorb-;1.25;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
